id	name	parentid	initial	initials	pinyin	suffix	order
61	西青	2	x	xq	xiqing	区	8
62	津南	2	j	jn	jinnan	区	9
63	北辰	2	b	bc	beichen	区	10
64	武清	2	w	wq	wuqing	区	11
65	宝坻	2	b	bc	baochi	区	12
66	滨海新区	2	b	bhxq	binhaixinqu		13
67	宁河	2	n	nh	ninghe	县	14
68	蓟县	2	j	jx	jixian		15
69	静海	2	j	jh	jinghai	县	16
70	黄浦	3	h	hp	huangpu	区	1
71	徐汇	3	x	xh	xuhui	区	2
72	长宁	3	z	zn	zhangning	区	3
73	静安	3	j	ja	jingan	区	4
74	普陀	3	p	pt	putuo	区	5
75	闸北	3	z	zb	zhabei	区	6
76	虹口	3	h	hk	hongkou	区	7
77	杨浦	3	y	yp	yangpu	区	8
78	闵行	3	m	mx	minxing	区	9
79	宝山	3	b	bs	baoshan	区	10
80	嘉定	3	j	jd	jiading	区	11
81	浦东新区	3	p	pdxq	pudongxinqu		12
82	金山	3	j	js	jinshan	区	13
83	松江	3	s	sj	songjiang	区	14
84	青浦	3	q	qp	qingpu	区	15
85	奉贤	3	f	fx	fengxian	区	16
86	崇明	3	c	cm	chongming	县	17
87	万州	4	w	wz	wanzhou	区	1
88	涪陵	4	f	fl	fuling	区	2
89	渝中	4	y	yz	yuzhong	区	3
90	大渡口	4	d	ddk	dadukou	区	4
91	江北	4	j	jb	jiangbei	区	5
92	沙坪坝	4	s	spb	shapingba	区	6
93	九龙坡	4	j	jlp	jiulongpo	区	7
94	南岸	4	n	na	nanan	区	8
95	北碚	4	b	bb	beibei	区	9
96	綦江	4	q	qj	qijiang	区	10
97	大足	4	d	dz	dazu	区	11
98	渝北	4	y	yb	yubei	区	12
99	巴南	4	b	bn	banan	区	13
100	黔江	4	q	qj	qianjiang	区	14
101	长寿	4	z	zs	zhangshou	区	15
102	江津	4	j	jj	jiangjin	区	16
103	合川	4	h	hc	hechuan	区	17
104	永川	4	y	yc	yongchuan	区	18
105	南川	4	n	nc	nanchuan	区	19
106	潼南	4	t	tn	tongnan	县	20
107	铜梁	4	t	tl	tongliang	县	21
108	荣昌	4	r	rc	rongchang	县	22
109	璧山	4	b	bs	bishan	县	23
110	梁平	4	l	lp	liangping	县	24
111	城口	4	c	ck	chengkou	县	25
112	丰都	4	f	fd	fengdou	县	26
113	垫江	4	d	dj	dianjiang	县	27
114	武隆	4	w	wl	wulong	县	28
115	忠县	4	z	zx	zhongxian		29
116	开县	4	k	kx	kaixian		30
117	云阳	4	y	yy	yunyang	县	31
118	奉节	4	f	fj	fengjie	县	32
119	巫山	4	w	ws	wushan	县	33
120	巫溪	4	w	wx	wuxi	县	34
121	石柱	4	s	sz	shizhu	自治县	35
122	秀山	4	x	xs	xiushan	自治县	36
123	酉阳	4	y	yy	youyang	自治县	37
124	彭水	4	p	ps	pengshui	自治县	38
125	石家庄	5	s	sjz	shijiazhuang	市	1
126	唐山	5	t	ts	tangshan	市	2
