id	name	parentid	order
414	文山	25	10
415	西双版纳	25	11
416	大理	25	12
417	德宏	25	13
418	怒江	25	14
419	迪庆	25	15
420	保山	25	16
421	拉萨	26	1
422	昌都	26	2
423	山南	26	3
424	日喀则	26	4
425	那曲	26	5
426	阿里	26	6
427	林芝	26	7
428	西安	27	1
429	铜川	27	2
430	宝鸡	27	3
431	咸阳	27	4
432	渭南	27	5
433	延安	27	6
434	汉中	27	7
435	榆林	27	8
436	安康	27	9
437	商洛	27	10
438	兰州	28	1
439	嘉峪关	28	2
440	金昌	28	3
441	白银	28	4
442	天水	28	5
443	武威	28	6
444	张掖	28	7
445	平凉	28	8
446	酒泉	28	9
447	庆阳	28	10
448	定西	28	11
449	陇南	28	12
450	临夏	28	13
451	甘南	28	14
452	西宁	29	1
453	海东	29	2
454	海北	29	3
455	黄南	29	4
456	海南	29	5
457	果洛	29	6
458	玉树	29	7
459	海西	29	8
460	银川	30	1
461	石嘴山	30	2
462	吴忠	30	3
463	固原	30	4
464	中卫	30	5
465	铁门关	31	1
466	北屯	31	2
467	乌鲁木齐	31	3
468	克拉玛依	31	4
469	吐鲁番	31	5
470	哈密	31	6
471	昌吉	31	7
472	博尔塔拉	31	8
473	巴音郭楞	31	9
474	阿克苏	31	10
475	克孜勒苏	31	11
476	喀什	31	12
477	和田	31	13
478	伊犁	31	14
479	塔城	31	15
480	阿勒泰	31	16
481	石河子	31	17
482	阿拉尔	31	18
483	图木舒克	31	19
484	五家渠	31	20
485	台北	32	1
486	高雄	32	2
487	基隆	32	3
488	台中	32	4
489	台南	32	5
490	新竹	32	6
491	嘉义	32	7
492	新北	32	8
493	宜兰	32	9
494	桃园	32	10
495	新竹	32	11
496	苗栗	32	12
497	彰化	32	13
498	南投	32	14
499	云林	32	15
500	嘉义	32	16
501	屏东	32	17
502	台东	32	18
503	花莲	32	19
504	澎湖	32	20
505	连江	32	21
506	金门	32	22
507	中西	33	1
508	葵青	33	2
509	元朗	33	3
510	屯门	33	4
511	荃湾	33	5
512	西贡	33	6
513	沙田	33	7
514	大埔	33	8
515	北区	33	9
516	观塘	33	10
517	黄大仙	33	11
518	深水埗	33	12
519	油尖旺	33	13
520	九龙城	33	14
521	南区	33	15
522	东区	33	16
523	湾仔	33	17
524	离岛	33	18
525	花地玛	34	1
526	圣安多	34	2
527	大堂区	34	3
528	望德	34	4
529	风顺	34	5
530	嘉模	34	6
531	圣方济各	34	7
532	路氹城	34	8
533	长安	125	1
534	桥东	125	2
535	桥西	125	3
536	新华	125	4
537	井陉矿	125	5
538	裕华	125	6
539	井陉	125	7
540	正定	125	8
541	栾城	125	9
542	行唐	125	10
543	灵寿	125	11
544	高邑	125	12
545	深泽	125	13
546	赞皇	125	14
547	无极	125	15
548	平山	125	16
549	元氏	125	17
550	赵县	125	18
551	辛集	125	19
552	藁城	125	20
553	晋州	125	21
554	新乐	125	22
555	鹿泉	125	23
556	路南	126	1
557	路北	126	2
558	古冶	126	3
559	开平	126	4
560	丰南	126	5
561	丰润	126	6
562	滦县	126	7
563	滦南	126	8
564	乐亭	126	9
565	迁西	126	10
566	玉田	126	11
567	唐海	126	12
568	遵化	126	13
569	迁安	126	14
570	海港	127	1
571	山海关	127	2
572	北戴河	127	3
573	青龙	127	4
574	昌黎	127	5
575	抚宁	127	6
576	卢龙	127	7
577	邯山	128	1
